Contracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Service Delivery Contract Manager,CPS allocated to,Classification,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
5893,Drugs and Alcohol screening,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Catherine Gibbs,Robert Fisher,Professional Services  / Clinical and Medical Support Services,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,36,No,No,Delegated Authority,,01/11/2016,31/10/2019,,, Alere Toxicology PLC (vendor no: 20844)
5892,NOGP - new website and online database,Safety and Assurance Directorate,Strategy and Risk,National Operational Guidance,Stephen Beakhust,Gillian Maxwell, / ,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 160,000","£ 160,000",£ 0,18,Yes,No,Budget Holder Approval,,01/12/2016,01/06/2018,20/04/2017,19/04/2020, Panlogic Ltd (vendor no: 20906)
5886,Provision of Insurance Broking Services,Corporate Services Directorate,Finance,Accountancy & Treasury,Peter Risby,Robert Fisher,Professional Services  / Financial,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 26,500","£ 45,000","(£ 18,500)",36,No,No,Delegated Authority,,01/07/2017,01/07/2020,,, Arthur J. Gallagher Insurance Brokers Limited (vendor no: 13070)
5885,Provision of PPE,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 80,000,000","£ 80,000,000",£ 0,96,No,No,Delegated Authority,Kent PPE Framework,15/10/2018,15/10/2026,,, Bristol Uniforms (vendor no: 1636)
5884,Provision of Property and Estates Management Services,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Paul Greenwood,Michael McCarthy, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,500,000","£ 3,000,000","£ 500,000",42,No,No,Committee Decision,,01/04/2017,01/10/2020,,, Dron & Wright (vendor no: 2564)
5873,Provision of Catering Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Paula Taylor,James Akinwale,Construction and FM / Catering,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,36,No,No,Budget Holder Approval,RM1056,01/04/2017,01/04/2020,,, ESS Government Services (vendor no: Not Listed on POMS)
5872,The Supply of Waste Management,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 1,686,000","£ 765,000","£ 921,000",36,No,No,Delegated Authority,,01/10/2017,01/10/2020,,, Bywaters (Leyton) Ltd   (vendor no: 17159)
5870,Transcription Services,Corporate Services Directorate,Procurement,FSR Enforcement Group,Andrew Jack,Gillian Maxwell,Professional Services  / Business and Commercial Services,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 6,000","£ 6,000",£ 0,36,Yes,No,Delegated Authority,TfL/91768 - Pan GLA Transcription and General Note Taking Services,01/07/2016,30/06/2019,01/07/2019,30/05/2020, WordWave International Ltd (T/A DTI) (vendor no: Not Listed on POMS)
5868,Non Emergency Telephony System,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 276,454","£ 276,454",£ 0,12,Yes,Yes,Delegated Authority,RM1045 Network Services,08/07/2016,31/07/2019,01/07/2019,12/01/2020, Unify Enterprise Communications Ltd (vendor no: Not Listed on POMS)
5860,Provision of aerial photography for use in brigade mapping applications,Corporate Services Directorate,Information and Communications Technology ,System Support & Improvement,Ramon Hooper,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 23,850","£ 30,000","(£ 6,150)",36,No,No,Budget Holder Approval,,01/09/2016,01/09/2019,,, Getmapping plc (vendor no: 20801)
5854,Supply Of Cleaning Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,John O'Dor,Construction and FM / Building Operations,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 6,578,895","£ 5,700,000","£ 878,895",36,Yes,No,Committee Decision,MOPAC- Building and Facilities Management Lot 1 ,08/10/2016,09/10/2019,09/10/2019,08/10/2020, Interserve (Facilities Management) Ltd (vendor no: 20793)
5851,Provision Of Inspection And Maintenance And Occasional Supply Of Gym Equipment,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,John O'Dor,Construction and FM / Building Operations,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 352,686","£ 450,000","(£ 97,314)",36,No,No,Committee Decision,MOPAC Miscellaneous repair and maintenance services,01/08/2016,01/08/2019,,, Sportsafe U.K Ltd (vendor no: 14950)
5850,Supply Of Planned And Reactive Grounds Maintenance Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Robert Fisher, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 586,660","£ 480,000","£ 106,660",36,No,No,Committee Decision,MOPAC- Building and Facilities Management Services ,01/08/2016,31/07/2019,,, G. Burley & Sons Limited. (vendor no: 20794)
5844,Sum Total Cyborg,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Lesley Troke,ICT / Software,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 509,539","£ 500,000","£ 9,539",60,No,No,Head of Procurement approval for single tender action,,01/03/2016,01/03/2021,,, SumTotal Systems UK Limited (vendor no: 13368)
5840,Accident Reporting and Recording Software Replacment Provision  ,Safety and Assurance Directorate,Health and Safety,Health & Safety,Adrian Bevan,Robert Fisher, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 114,210","£ 30,000","£ 84,210",24,No,No,Delegated Authority,G Cloud 8 ,05/06/2017,05/06/2019,,, Rivo Software Limited  (vendor no: 21073)
5839,Supply of Stationery,Corporate Services Directorate,Procurement,Procurement Business Systems & Analytics,Asad khan,Robert Fisher,Office Solutions / Office Supplies,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,36,No,No,Delegated Authority,CCS RM3703,17/04/2017,17/04/2020,,, Banner Group (vendor no: 4755)
5835,Hyperconverged Infrastructure,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Gillian Maxwell, / ,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 377,185","£ 300,000","£ 77,185",36,No,No,Budget Holder Approval,,14/11/2016,14/11/2019,,, XMA Limited (vendor no: 18939)
5821,Audio / Visual Equipment Refresh - Union Street,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Hitesh Mistry,ICT / Hardware,No,No,Yes,No,Goods/Service,Expenditure,"£ 107,444","£ 130,000","(£ 22,556)",36,No,No,Delegated Authority,Technology Products 2 RM3733,06/02/2017,05/02/2020,,, Softcat (vendor no: N/A)
5817,Temporary Labour,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Simon Bampfylde,Robert Fisher, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,27,Yes,No,Delegated Authority,TfL/90747 Master Vendor for Supply of Temporary and Permanent Workers,01/02/2016,16/06/2018,16/06/2019,15/06/2020, Hays Specialist Recruitment Ltd (vendor no: 20575)
5810,"Direct Access Appliance Hardware, Configuration & Support",Corporate Services Directorate,Information and Communications Technology ,Technical Projects,Jeremy Sanders-Smith,Lesley Troke,ICT / Services,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 29,630","£ 32,000","(£ 2,370)",36,Yes,No,Delegated Authority,,08/02/2016,07/02/2019,08/02/2019,07/02/2020, Risual Limited (vendor no: 20667)
5804,Chemical Protection Suits,Safety and Assurance Directorate,Operational Policy,Hazmat & Incident Comms Policy,Anthony Farrant,Gillian Maxwell, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,48,No,No,Budget Holder Approval,CFR1008/CPC ,06/06/2016,06/06/2020,,, Respirex International Ltd (vendor no: 5179)
5802,Cycle to Work Scheme,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Simon Bampfylde,Michael McCarthy,Professional Services  / HR Services,Yes,Yes,Yes,No,Goods/Service,Income,"£ 3,000,000","£ 1,000,000","£ 2,000,000",48,No,No,Delegated Authority,,18/04/2017,18/04/2021,,, F.W. Evans Ltd  (vendor no: 21010)
5797,Replacement Ff Torches,Operations Directorate,Fire Stations,Leavers,Darren Levett,Anouska Herman,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 45,000","£ 45,000",£ 0,60,No,No,Delegated Authority,,22/07/2016,22/07/2021,,, Wolf Safety Lamp Company Ltd (vendor no: 6404)
5796,FIRE Bag,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Thomas Goodall,Hitesh Mistry, / ,Yes,No,Yes,No,Works,Expenditure,"£ 32,976","£ 45,000","(£ 12,024)",60,No,No,Delegated Authority,,29/06/2016,29/06/2021,,, First Products (Sussex) Limited (vendor no: 19969)
5785,Provision of Medical Consumables,Safety and Assurance Directorate,Operational Policy,Management & Admin Policy Team,David O'Neill,Robert Fisher,Operational Equipment / Medical and Surgical Consumables,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,48,No,No,Delegated Authority,"NATIONAL SUPPLY & DELIVERY OF FIRST AID & PHARMACEUTICALS, EMERGENCY LIFE SUPPORT & TRAINING EQUIPMENT AND ASSOCIATED PRODUCTS",11/04/2016,10/04/2020,,, Aero Healthcare Limited  (vendor no: 20788)
5781,"Maintenance of high pressure breathable oxygen and air compressors, high pressure pipework and associated distribution systems ",Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Gillian Maxwell, / ,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 175,000","£ 300,000","(£ 125,000)",60,No,No,Budget Holder Approval,,16/09/2016,16/09/2021,,, Gas & Air Services (UK) Limited (vendor no: 12800)
5760,Library Management System,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 35,550","£ 20,000","£ 15,550",60,No,No,Delegated Authority,,01/02/2016,31/01/2021,,, PTFS Europe Ltd (vendor no: 20653)
5757,Heavy Duty Lockers,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Lesley Troke,Construction and FM / Furniture,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 95,000","£ 95,000",£ 0,60,No,No,Delegated Authority,,01/03/2016,01/03/2021,,, Garran Lockers Limited (vendor no: 7395)
5755,Catering Consumables,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Anouska Herman,Construction and FM / Catering,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 76,000","£ 190,000","(£ 114,000)",24,Yes,No,Delegated Authority,ESPO Light Catering Framework 97,25/07/2016,24/07/2018,25/07/2018,24/07/2020, NISBETS PLC (vendor no: 14001)
5754,Cleaning Consumables,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Construction and FM / Domestic Goods,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 610,000","£ 610,000",£ 0,46,No,No,Delegated Authority,LCSG Framework Agreement for the Porvision of Cleaning Materials and Janitorial Products ,14/11/2016,31/08/2019,,, Greenham  (vendor no: 3154)
5752,Respiratory Protective Equipment (RPE) Replacement Components,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Lesley Troke,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 2,000,000","£ 2,100,000","(£ 100,000)",60,No,No,Budget Holder Approval,,01/07/2016,01/07/2021,,, Draeger Limited (vendor no: 2552)
5750,Provision of Gas Automated Meter Reading (AMR) Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Lloyd Bentley,Gillian Maxwell, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,60,No,No,Delegated Authority,CCS Framework RM 896,01/04/2016,01/04/2021,,, Corona Energy (vendor no: 19185)
5749,Inspection of Fleet Vehicles,Corporate Services Directorate,Technical and Service Support,FLEET,Trevor Neal,Gillian Maxwell,Fleet  / Fleet Management,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,36,No,No,Delegated Authority,,01/04/2016,01/04/2019,,, Applus Car Testing Service Ltd (vendor no: 19343)
5748,Property Integrator,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy, / ,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 13,000,000","£ 13,000,000",£ 0,96,No,No,Delegated Authority,MOPAC Integrator,01/05/2016,30/04/2024,,, KBR Ltd (vendor no: 20657)
5739,Lone Worker Protection Services,Operations Directorate,Fire Safety (Regulatory and Community),FSR Policy Team,Philip Skelton,Robert Fisher, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 50,000","£ 80,000","(£ 30,000)",36,Yes,No,Budget Holder Approval,,04/01/2016,04/01/2019,04/01/2019,02/01/2020, Skyguard Limited (vendor no: 19637)
5736,Relocation of LFB Museum,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,John Grey,Michael McCarthy, / ,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,No,No,Committee Decision,,01/06/2016,01/06/2021,,," Premier Moves Ltd (vendor no: 2821), Bishop's Move Ltd (vendor no: 20759)"
5732,Provision of Security Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Timothy Crocker,John O'Dor,Construction and FM / Building Operations,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 640,000","£ 640,000",£ 0,36,Yes,Yes,Delegated Authority,CCS Framework 1056,01/01/2016,31/12/2018,01/01/2019,31/01/2020, Mitie Security Limited  (vendor no: 14039)
5723,Agreement for the Supply of Electronic Office Supplies ,Corporate Services Directorate,Procurement,Procurement Business Systems & Analytics,Asad khan,Robert Fisher,Office Solutions / Printing Machinery and Equipment,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 228,000","£ 344,000","(£ 116,000)",48,No,No,Budget Holder Approval,LCSG,31/05/2016,31/05/2020,,, Supplies Team T/A Banner (vendor no: 4755)
5719,Re-development of 8 Albert Embankment,Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Rupert Palmer,Michael McCarthy, / ,No,Yes,Yes,No,Works,Income,"£ 67,000,000","£ 50,000,000","£ 17,000,000",45,No,No,Committee Decision,,24/08/2016,24/05/2020,,, U and I Group PLC  (vendor no: 21369)
5707,Lay flat hose,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Gillian Maxwell, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 300,000","£ 300,000",£ 0,35,Yes,No,Budget Holder Approval,YPO Framework ,01/11/2015,31/10/2018,01/11/2018,31/10/2019, Angus Fire (vendor no: 1176)
5706,"Operational research, including modelling, services ",Corporate Services Directorate,Information and Communications Technology ,ICT Management,David Wyatt,Gillian Maxwell,Professional Services  / Operational Services,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,05/11/2015,05/11/2020,,, Operational Research in Health Ltd (ORH) (vendor no: 15363)
5699,Provision of Internet Services,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 1,800,000","(£ 1,800,000)",36,Yes,No,Committee Decision,CCS - PSN Services RM1498 Lot 1,13/07/2015,12/07/2018,13/07/2019,12/07/2020, British Telecommunications plc (vendor no: 17026)
5685,Provision of Journals,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Dean Kinsella, / ,No,No,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 21,000","(£ 21,000)",36,Yes,No,Budget Holder Approval,,19/01/2015,18/01/2018,19/01/2018,18/01/2019, Prenax Ltd (vendor no: 20415)
5672,Mobile Data Terminals and Other Devices for Vehicles and Fire Appliances,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke, / ,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,"£ 2,540,000","(£ 2,540,000)",48,No,No,Committee Decision,"CCS Framework 
RM1054 Technology Products (Lot 1: Technology Hardware)",01/05/2015,30/04/2019,,," Specialist Computer Centres Plc (vendor no: 11543), Insight Direct (UK) Ltd (vendor no: 14363), ERGO Computing UK Ltd  (vendor no: 19340)"
5660,Undress Uniform: Blue Shirts,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,60,No,No,Head of Procurement approval for single tender action,,01/12/2014,30/04/2020,,, Burlington Uniforms Ltd (vendor no: 18007)
5656,Provision of a Wide Area Network,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Gillian Maxwell, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 2,699,077","£ 2,500,000","£ 199,077",36,Yes,No,Committee Decision,CCS RM860,01/07/2015,30/06/2018,01/07/2018,30/06/2020, BT PLC (vendor no: 1744)
5648,Childcare Vouchers,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Colman Donnelly,Dean Kinsella, / ,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Committee Decision,HTE Europe ,08/11/2014,07/11/2018,,, EdenRed UK Group (vendor no: 19289)
5631,De-polluted cars,Operations Directorate,Fire Stations,Central Operations Team,Keith Cunnew,Robert Fisher,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,Yes,Yes,Budget Holder Approval,,01/02/2015,30/04/2019,01/05/2019,30/07/2019, E&SB Davis (vendor no: 19195)
5624,"Supply, Delivery, Collection and Disposal of Firefighting Foam and Containers",Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Daniel Kipling,Anouska Herman,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,Head of Procurement approval for single tender action,,17/04/2015,16/04/2018,17/04/2019,16/04/2020, Auxquimia S.A (vendor no: 19139)
5620,Supply of high visibility surcoats and role badge inserts,Safety and Assurance Directorate,Operational Policy,FLEET,Gary Hopkins,Gillian Maxwell, / ,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,10/09/2015,09/09/2020,,, B & A Textiles Ltd (vendor no: 17374)
5581,Provision of anti-entanglement Breathing Apparatus cylinder covers,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Samantha Groves, / ,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 41,090","£ 49,000","(£ 7,910)",36,Yes,No,Budget Holder Approval,,01/05/2014,30/04/2019,30/04/2017,30/04/2019, Ulster Supported Employment Ltd (vendor no: 20241)
5571,Supply of ICT Hardware Support and Maintenance Services,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,ICT / Services,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 1,737,870","£ 1,500,000","£ 237,870",60,Yes,Yes,Committee Decision,GPS,28/02/2014,31/03/2019,01/04/2019,30/09/2019, Computacenter (UK) Ltd (vendor no: 13430)
5558,Scientific Services,Corporate Services Directorate,Procurement,Contracts Management Group,Chorouk El-Adib,Gillian Maxwell,Professional Services  / Operational Services,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,526,200","£ 3,530,829","(£ 4,629)",36,Yes,No,Committee Decision,,01/03/2014,28/02/2017,01/03/2018,31/08/2019, Bureau Veritas UK Ltd (vendor no: 7952)
5554,Rank and Role Markings,Operations Directorate,Fire Stations,Corporate Procurement Services,Gillian Maxwell,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,Committee Decision,,01/03/2014,28/02/2017,28/02/2017,28/02/2019, Wyedean Weaving Co Ltd (vendor no: 20205)
5553,Workwear: Jackets,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,Yes,Yes,Committee Decision,ESPO 144,10/10/2013,09/10/2017,01/07/2019,30/04/2020, Burlington Uniforms (agent for FCC Ltd) (vendor no: 18007)
5550,Property PFI Project,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy, / ,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,330,No,No,Committee Decision,,01/08/2013,04/02/2041,,, Blue3 (London) Ltd (vendor no: 20116)
5522,Fleet and Operational Equipment Items Management and Maintenance Contract,Corporate Services Directorate,Procurement,TSS Management,Rhys Powell,Gillian Maxwell,Fleet  / Purchase,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 162,273,000","£ 169,000,000","(£ 6,727,000)",252,No,No,Committee Decision,,13/11/2014,12/11/2035,,, Babcock Critical Services Ltd (vendor no: 14924)
5505,Emergency Fire Crew Capability Services,Safety and Assurance Directorate,Operational Resilience and Special Operations,Special Operations Group,Matthew Herrington,Gillian Maxwell,Operational Equipment / Emergency and Rescue Services,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 20,000,000","(£ 20,000,000)",72,No,No,Committee Decision,,13/11/2014,12/11/2020,,, Securitas Security Services (UK) Ltd (vendor no: 19855)
5501,Provision of Guardian Services at Authority Premises,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Construction and FM / Security,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 190,000",£ 0,"£ 190,000",36,Yes,No,Committee Decision,,01/10/2013,30/09/2016,01/10/2017,31/03/2019, Vigilance Properties Ltd (vendor no: 19740)
5479,White Shirts and T Shirts,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 122,000","(£ 122,000)",36,Yes,Yes,Committee Decision,,01/08/2013,31/07/2016,31/07/2018,30/04/2020," Hunter Apparel&#x0D;
Burlington Uniforms  (vendor no: N/A)"
5414,Station Based Workwear,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,Yes,Committee Decision,,01/07/2013,30/06/2016,31/07/2018,30/04/2020, Hunter ApparelBurlington Uniforms  (vendor no: 8470)
5350,Control and Mobilising Services,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Gillian Maxwell,ICT / Services,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 19,601,893","£ 17,500,000","£ 2,101,893",120,No,No,Committee Decision,,01/08/2012,01/08/2022,,, Capita Secure Information Solutions Ltd (vendor no: 9074)
5290,FOfT - Future Options for Training,Safety and Assurance Directorate,Training and Professional Development,Training Delivery,Peter Groves,Gillian Maxwell,Professional Services  / Development and Training,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 366,705,402","£ 366,705,402",£ 0,120,No,No,Committee Decision,,01/04/2012,31/03/2022,,, Babcock Training Ltd (vendor no: 14924)
5278,"Provision of the Preservation, Digitisation and Marketing of LFB's Photographic Archive",Corporate Services Directorate,Information and Communications Technology ,Enterprise Application Delivery,Robert Stansbie,Hitesh Mistry, / ,Yes,No,Yes,Yes,Goods/Service,Income,"£ 10,000","£ 70,000","(£ 60,000)",60,Yes,Yes,Budget Holder Approval,,25/07/2011,24/07/2016,24/07/2018,23/07/2019, Mary Evans Picture Library (vendor no: 20818)
5059,Waste collection service for discarded hosing materials,Corporate Services Directorate,Procurement,Sustainable Development,Nicole Fletcher,Robert Fisher, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,Yes,No,Committee Decision,,01/04/2009,01/04/2014,,01/04/2019, Eako Limited (vendor no: 20115)
4762,Hire of trucks for BDC,Corporate Services Directorate,Procurement,Corporate Procurement Services,Brendan O'Sullivan,Robert Fisher,Fleet  / Vehicle Hire and Lease,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 27,000","£ 38,000","(£ 11,000)",84,Yes,No,Delegated Authority,,12/12/2007,11/12/2014,30/03/2019,29/03/2020, Toyota Material Handling UK Rental Ltd (vendor no: 17874)
