Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
5668,Fuel Cards and Associated Services Framework Agreement RM1027,Corporate Services Directorate,Procurement,Contracts Management Group,David Catchpole,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,48,Yes,Yes,Committee Decision,CCS Framework (CCS ran call off competition),17/01/2015,16/01/2019,17/01/2019,16/05/2019, ALLSTAR BUSINESS SOLUTIONS Ltd
5660,Undress Uniform: Blue Shirts,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,60,No,No,Head of Procurement approval for single tender action,,01/12/2014,30/11/2019,,, Burlington Uniforms Ltd
5656,Provision of a Wide Area Network,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 2,699,077","£ 2,500,000","£ 199,077",36,Yes,No,Committee Decision,CCS RM860,01/07/2015,30/06/2018,01/07/2018,30/06/2020, BT PLC
5648,Childcare Vouchers,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Colman Donnelly,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Committee Decision,HTE Europe ,08/11/2014,07/11/2018,,, EdenRed UK Group
5642,Fired-Up Framework Agreement - Supply of Vehicle Telematics Hardware and Software,Corporate Services Directorate,Procurement,Leavers,Abigail Semple,Gillian Maxwell,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 20,000,000","£ 20,000,000",£ 0,48,No,No,Committee Decision,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,, Airwave Solutions Ltd. 
5631,De-polluted cars,Operations Directorate,Fire Stations,Central Operations Team,Keith Cunnew,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,,01/02/2015,30/04/2019,,, E&SB Davis
5624,"Supply, Delivery, Collection and Disposal of Firefighting Foam and Containers",Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Daniel Kipling,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,Head of Procurement approval for single tender action,,17/04/2015,16/04/2018,17/04/2019,16/04/2020, Auxquimia S.A
5621,Provision of merchandising and promotional items,Corporate Services Directorate,Communications,Leavers,Emma Francis,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,48,No,No,Committee Decision,,15/12/2014,14/12/2018,,, Supplies Team
5620,Supply of high visibility surcoats and role badge inserts,Safety and Assurance Directorate,Operational Policy,FLEET,Gary Hopkins,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,10/09/2015,09/09/2020,,, B & A Textiles Ltd
5612,Business Name Dataset Compatible with AddressBase Premium,Corporate Services Directorate,Information and Communications Technology ,System Support & Improvement,Christopher O'Connor,Lesley Troke,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 43,000","£ 100,000","(£ 57,000)",24,Yes,No,Budget Holder Approval,,01/11/2014,31/10/2016,01/11/2016,31/10/2018, Aligned Assets Ltd
5581,Provision of anti-entanglement Breathing Apparatus cylinder covers,Corporate Services Directorate,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Samantha Groves,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 41,090","£ 49,000","(£ 7,910)",36,Yes,No,Budget Holder Approval,,01/05/2014,30/04/2019,30/04/2017,30/04/2019, Ulster Supported Employment Ltd
5571,Supply of ICT Hardware Support and Maintenance Services,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,737,870","£ 1,500,000","£ 237,870",60,No,No,Committee Decision,GPS,28/02/2014,31/03/2019,,, Computacenter (UK) Ltd
5558,Scientific Services,Corporate Services Directorate,Procurement,Contracts Management Group,Justin Ali,Gillian Maxwell,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,526,200","£ 3,530,829","(£ 4,629)",36,Yes,No,Committee Decision,,01/03/2014,28/02/2017,01/03/2018,28/02/2019, Bureau Veritas UK Ltd
5554,Rank and Role Markings,Operations Directorate,Fire Stations,Corporate Procurement Services,Gillian Maxwell,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,Committee Decision,,01/03/2014,28/02/2017,28/02/2017,28/02/2019, Wyedean Weaving Co Ltd
5553,Workwear: Jackets,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,Yes,Yes,Committee Decision,ESPO 144,10/10/2013,09/10/2017,10/10/2017,30/06/2019, Burlington Uniforms (agent for FCC Ltd)
5550,Property PFI Project,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,330,No,No,Committee Decision,,01/08/2013,04/02/2041,,, Blue3 (London) Ltd
5522,Fleet and Operational Equipment Items Management and Maintenance Contract,Corporate Services Directorate,Procurement,TSS Management,Rhys Powell,Gillian Maxwell,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 162,273,000","£ 169,000,000","(£ 6,727,000)",252,No,No,Committee Decision,,13/11/2014,12/11/2035,,, Babcock Critical Services Ltd
5505,Emergency Fire Crew Capability Services,Safety and Assurance Directorate,Operational Resilience and Special Operations,Special Operations Group,Matthew Herrington,Gillian Maxwell,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 20,000,000","(£ 20,000,000)",72,No,No,Committee Decision,,13/11/2014,12/11/2020,,, Securitas Security Services (UK) Ltd
5504,Provision of Cable Cutter Pouches,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Thomas Goodall,Remmy Kamya,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 16,000","(£ 16,000)",36,Yes,No,Budget Holder Approval,,09/09/2013,08/09/2016,08/09/2016,31/01/2019, First Products (Sussex) Ltd
5501,Provision of Guardian Services at Authority Premises,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 190,000",£ 0,"£ 190,000",36,Yes,No,Committee Decision,,01/10/2013,30/09/2016,01/10/2017,31/03/2019, Vigilance Properties Ltd
5479,White Shirts and T Shirts,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,"£ 122,000","(£ 122,000)",36,Yes,Yes,Committee Decision,,01/08/2013,31/07/2016,31/07/2018,30/06/2019," Hunter Apparel&#x0D;
Burlington Uniforms "
5436,Laundry & Dry Cleaning,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 450,000","£ 450,000",£ 0,48,Yes,No,Budget Holder Approval,,01/02/2013,31/01/2017,31/01/2017,31/12/2018, Sunlight (now Berendsen)
5414,Station Based Workwear,Operations Directorate,Fire Stations,Central Operations Team,Richard Field,Anouska Herman,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,Yes,Committee Decision,,01/07/2013,30/06/2016,31/07/2018,30/06/2019, Hunter ApparelBurlington Uniforms 
5350,Control and Mobilising Services,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Gillian Maxwell,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 19,601,893","£ 17,500,000","£ 2,101,893",120,No,No,Committee Decision,,01/08/2012,01/08/2022,,, Capita Secure Information Solutions Ltd
5290,FOfT,Safety and Assurance Directorate,Training and Professional Development,Training Delivery,Peter Groves,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 366,705,402","£ 366,705,402",£ 0,120,No,No,Committee Decision,,01/04/2012,31/03/2022,,, Babcock Training Ltd
5278,"Provision of the Preservation, Digitisation and Marketing of LFB's Photographic Archive",Corporate Services Directorate,Information and Communications Technology ,Enterprise Application Delivery,Robert Stansbie,Hitesh Mistry,Yes,No,Yes,Yes,Goods/Service,Income,"£ 10,000","£ 70,000","(£ 60,000)",60,Yes,Yes,Budget Holder Approval,,25/07/2011,24/07/2016,24/07/2018,23/07/2019, Mary Evans Picture Library
5059,Waste collection service for discarded hosing materials,Corporate Services Directorate,Procurement,Sustainable Development,Nicole Fletcher,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,Yes,No,Committee Decision,,01/04/2009,01/04/2014,,01/04/2019, Eako Limited
4907,Provision of Banking Services,Corporate Services Directorate,Finance,Budget,Rory Murphy,Anouska Herman,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 27,693","£ 33,000","(£ 5,307)",36,Yes,No,Standing Order,,01/07/2008,30/06/2016,30/06/2016,30/06/2018, The Royal Bank of Scotland plc
4762,Hire of trucks for BDC,Corporate Services Directorate,Procurement,Corporate Procurement Services,Brendan O'Sullivan,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 27,000","£ 38,000","(£ 11,000)",84,Yes,No,Delegated Authority,,12/12/2007,11/12/2014,30/03/2019,29/03/2020, Toyota Material Handling UK Rental Ltd
