,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Expired,Service Type,Budget Implications,Actual Cost,Est Cost ,Cost variance,Duration  (months),Extended,Ext post contract,Auth to tender,Framework agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
5565,Drill Tower Repair,Technical and Service Support,Property Project Delivery,Frank Walsh,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 11,180","£ 8,180","£ 3,000",1,No,No,Head of Procurement approval for single tender action,,08/01/2014,20/01/2014,,,20/01/2014, Fahey Builders Ltd
5564,Fire Safety Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 30,272","£ 35,541","(£ 5,269)",1,No,No,Delegated Authority,,17/02/2014,07/03/2014,,,07/03/2014, SW Bruce & Co Ltd
5563,Fire Safety Works,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 17,410","£ 23,711","(£ 6,301)",1,No,No,Delegated Authority,,08/01/2014,06/02/2014,,,06/02/2014, SW Bruce & Co Ltd
5562,Fire Safety Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 18,583","£ 29,508","(£ 10,925)",1,No,No,Delegated Authority,,10/02/2014,28/02/2014,,,28/02/2014, B Nokes Contracts Ltd
5561,Renewal of front and rear appliance bay doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 46,750","£ 56,000","(£ 9,250)",1,No,No,Delegated Authority,,14/01/2014,02/02/2014,,,02/02/2014, Jewers Specialist Doors Ltd
5560,Renewal of front and rear appliance bay doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 45,392","£ 56,000","(£ 10,608)",1,No,No,Delegated Authority,,05/02/2014,01/03/2014,,,01/03/2014, Arkas Ltd
5559,Renewal of front appliance bay doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 44,278","£ 48,000","(£ 3,722)",1,No,No,Delegated Authority,,14/01/2014,02/02/2014,,,02/02/2014, Jewers Specialist Doors Ltd
5558,Scientific Services,Procurement,Contracts Management Group,David Catchpole,Not allocated,,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 3,526,200","£ 3,530,829","(£ 4,629)",36,Yes,No,Committee Decision,,01/03/2014,28/02/2017,28/02/2017,28/02/2018,, Bureau Veritas UK Ltd
5557,Electrical works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 40,484","£ 41,315",(£ 831),1,No,No,Delegated Authority,,30/01/2014,28/02/2014,,,28/02/2014, Lovelock & Taylour Limited
5556,Renewal of front and rear appliance bay doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 43,821","£ 60,000","(£ 16,179)",1,No,No,Budget Holder Approval,,05/02/2014,02/03/2014,,,02/03/2014, Arkas Ltd
5555,Fire Safety Works,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 44,871","£ 60,000","(£ 15,129)",2,No,No,Standing Order,,14/01/2014,11/03/2014,,,11/03/2014, Morrissey Electrical & Building Limited
5554,Rank and Role Markings,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,Committee Decision,,01/03/2014,28/02/2017,28/02/2017,28/02/2019,, Wyedean Weaving Co Ltd
5553,Workwear: Jackets,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Committee Decision,ESPO 144,10/10/2013,09/10/2017,,,, Burlington Uniforms (agent for FCC Ltd)
5552,Workwear: Sweatshirts,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Committee Decision,ESPO 144,10/10/2013,09/10/2017,,,, Burlington Uniforms (agent for FCC Ltd)
5551,Diesel Fuel for Fire Stations,Procurement,Corporate Procurement Services,Keith Cook,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,24,No,No,Committee Decision,GPS Framework,01/10/2013,30/09/2015,,,30/09/2015, Hall Fuels
5550,Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,330,No,No,Committee Decision,,01/08/2013,04/02/2041,,,, Blue3 (London) Ltd
5549,Library Subscription Services,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,12,No,No,Budget Holder Approval,,08/11/2013,07/11/2014,,,07/11/2014, UBM Information Ltd
5548,Deployment of Cisco Firewalls and Associated Consultancy,Information and Communications Technology ,ICT Management,Julian Martin,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 182,428","£ 200,000","(£ 17,572)",36,No,No,Committee Decision,GPS Framework RM721/L2,06/11/2013,05/11/2016,,,05/11/2016, Softcat Limited
5547,Combind Heating Power,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 124,949","£ 153,395","(£ 28,446)",2,No,No,Standing Order,,28/11/2013,21/01/2014,,,21/01/2014, Artic Building Services Ltd
5546,Combined Heating Power,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 123,005","£ 134,305","(£ 11,300)",2,No,No,Standing Order,,04/02/2014,08/04/2014,,,08/04/2014, Artic Building Services Ltd
5545,Photovoltaic Installation and Roof Works,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 132,784","£ 116,000","£ 16,784",2,No,No,Standing Order,,25/11/2013,12/01/2014,,,12/01/2014, Diamond Build plc
5544,"Maintenance of Powered and Manually Operated Appliance Bay Doors, Roller Shutters, Tower Grilles/Shutters, Rear Gates",Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,Yes,Yes,Works,Expenditure,"£ 91,377","£ 100,000","(£ 8,623)",24,Yes,No,Delegated Authority,,01/10/2013,30/09/2015,30/06/2016,31/07/2016,31/07/2016, Arkas Ltd
5543,Mobile Safety Patrols,Technical and Service Support,Property Strategic Planning,John Grey,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,GLA/TFL,30/08/2013,29/08/2017,,,, Servoca Secure Services Ltd
5542,Fire Safety Works,Technical and Service Support,Leavers,Carlos Monsalve Pereira,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 61,356","£ 89,183","(£ 27,827)",1,No,No,Standing Order,,18/10/2013,08/11/2013,,,08/11/2013, SW Bruce and Co Ltd
5541,Installation of Photovoltaic works,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 37,248","£ 35,000","£ 2,248",1,No,No,Delegated Authority,,12/11/2013,12/12/2013,,,12/12/2013, Diamond Build plc
5540,The Provision and Supply of Smoke Alarms and Related Products,Fire Safety (Statutory and Community),CS Policy and Projects,Mark Hazelton,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,12,Yes,No,Budget Holder Approval,YPO Framework 000447,23/08/2013,22/08/2014,22/08/2016,22/08/2017,, Sprue Safety Products Ltd
5538,Evaluation of community volunteers project,Fire Safety (Statutory and Community),CS Policy and Projects,Kathryn Bloomfield,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 10,837","£ 10,837",£ 0,2,No,No,Head of Procurement approval for single tender action,,02/08/2013,30/09/2013,,,30/09/2013, Cordis Bright Ltd
5537,Senior supplier for FIBE project ,Strategy and Inclusion,Leavers,Steven Adams,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 82,000","£ 82,000",£ 0,12,No,No,Head of Procurement approval for single tender action,,05/08/2013,05/08/2014,,,05/08/2014, BRE Global
5536,ISC Yard Enhancement,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 318,237","£ 356,600","(£ 38,363)",2,No,No,Delegated Authority,,02/10/2013,02/12/2013,,,02/12/2013, Walker Construction (UK) Ltd
5535,Fire Safety Works,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 22,574","£ 33,935","(£ 11,361)",1,No,No,Delegated Authority,,18/11/2013,06/12/2013,,,06/12/2013, SW Bruce & Co Ltd
5534,Water services replacement,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 82,692","£ 112,000","(£ 29,308)",2,No,No,Delegated Authority,,07/10/2013,15/11/2013,,,15/11/2013, Purdy Contractors Ltd
5533,Royalty Agreement: Premises box,Legal & Democratic Services,Corporate & Commercial,Michele Rolfe,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,23/05/2013,22/05/2018,,,, Gerda Security Products Ltd
5531,Fire Safety Works,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 59,150","£ 76,038","(£ 16,888)",1,No,No,Delegated Authority,,04/11/2013,29/11/2013,,,29/11/2013, B Nokes Contracts Ltd
5529,Vehicle Inspections and Fitting of Blues and Twos,Procurement,Vehicle Administration,Floyd Phillip,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 130,000","£ 130,000",£ 0,43,Yes,No,Budget Holder Approval,,01/12/2013,30/06/2017,01/07/2017,30/06/2018,, Pullman Motors
5528,Office chairs,Procurement,Leavers,Keith Cook,Robert Fisher,Yes,No,Yes,No,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Committee Decision,TFL Framework 90272,30/10/2013,29/10/2017,,,, Interstuhl Ltd
5527,Kitchen deep cleaning,Technical and Service Support,Agency Leavers,Timothy Crocker,Not allocated,,Yes,Yes,No,Yes,Goods/Service,Expenditure,"£ 74,539","£ 74,539",£ 0,12,No,No,Committee Decision,,01/04/2014,31/03/2015,,,31/03/2015, Regent Cleaning
5526,Fire Safety Works,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 24,741","£ 36,300","(£ 11,559)",1,No,No,Delegated Authority,,09/09/2013,27/09/2013,,,27/09/2013, B Nokes Contracts Ltd
5524,Vehicle Leasing,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 4,000,000",£ 0,"£ 4,000,000",48,No,No,Budget Holder Approval,Halton Housing Trust via Sector,01/08/2013,31/07/2017,,,," Alphabet (UK), Days Contract Hire, Lex Autolease"
5523,Sharepoint Information Architecture and Template design,Information and Communications Technology ,ICT Management,Julian Martin,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 55,050","£ 30,000","£ 25,050",7,No,No,Budget Holder Approval,,02/09/2013,31/03/2014,,,31/03/2014, Mando Group Limited
5522,Fleet and Operational Equipment Items Management and Maintenance Contract,Procurement,Contracts Management Group,Jonathan Reid,Not allocated,,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 162,273,000","£ 169,000,000","(£ 6,727,000)",252,No,No,Committee Decision,,13/11/2014,12/11/2035,,,, Babcock Critical Services Ltd
5521,Subscriptions and Journals,Information and Communications Technology ,Business Intelligence,Andrew Mobbs,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 12,000","£ 12,000",£ 0,15,No,No,Budget Holder Approval,TFL Contract,01/07/2013,30/09/2014,,,30/09/2014, SWETS Information Services Ltd
5520,Renewal of Appliance Bay Floor,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 32,484","£ 42,840","(£ 10,356)",1,No,No,Delegated Authority,,09/09/2013,11/10/2013,,,11/10/2013, Richo Limited
5519,supply of ballistic coverall and helmet cover,Procurement,Corporate Procurement Services,Keith Cook,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,West Midlands Ambulance Service,21/06/2013,20/06/2017,,,20/06/2017, Rig Equipment Ltd
5518,supply of ballistic helmets,Procurement,Corporate Procurement Services,Keith Cook,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,West Midlands Ambulance Service,21/06/2013,20/06/2017,,,20/06/2017, NP Areospace 
5517,"supply of  Body Armour hard and soft plates, Body Armour carrier & kit bag ",Procurement,Corporate Procurement Services,Keith Cook,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,West Midlands Ambulance Service,21/06/2013,20/06/2017,,,20/06/2017, Aegis Engineering Ltd
5516,Provision of continuing FM consultancy services for the Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, LW Consulting
5515,Provision of continuing financial consultancy services for the Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, BDO LLP
5514,Provision of continuing legal consultancy services for the Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, Bond Dickinson LLP
5513,Provision of continuing cost consultancy services for the Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, Davis Langdon
5512,Provision of continuing technical consultancy services for the Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, Deloitte LLP
5511,"Provision of continuing engineering, mechanical and electrical  consultancy services for the Property PFI Project",Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, Cundall
5510,Provision of continuing architectural consultancy services for the Property PFI Project,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,02/08/2013,01/08/2016,,,01/08/2016, HOK
5508,Professional Consultancy Services,Human Resources Management,HR Operations,Mary-Anne Oates,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,Head of Procurement approval for single tender action,,01/06/2013,31/05/2015,,,31/05/2015, Mark Slaski Limited
5506,Motorisation of gates,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 63,381","£ 60,000","£ 3,381",1,No,No,Delegated Authority,,28/08/2013,05/09/2013,,,05/09/2013, H & V Building Services Ltd
5505,Emergency Fire Crew Capability Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 20,000,000","£ 20,000,000",£ 0,72,No,No,Committee Decision,,13/11/2014,12/11/2020,,,, Securitas Security Services (UK) Ltd
5504,Provision of Cable Cutter Pouches,Operational Policy,Croydon (Team),Philip Morton,Not allocated,,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 16,000","£ 16,000",£ 0,36,Yes,No,Budget Holder Approval,,09/09/2013,08/09/2016,08/09/2016,08/09/2018,, First Products (Sussex) Ltd
5503,Clerk of Works Services,Technical and Service Support,Leavers,Carlos Monsalve Pereira,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 25,000","£ 25,000",£ 0,15,No,No,Budget Holder Approval,"London Construction Programme CRCS Framework Agreement 2012, Lot 10 Clerk of Works Services",01/07/2013,30/09/2014,,,30/09/2014, John Burke Associates
5502,Provision of ICT Equipment for 9 Command Units,Information and Communications Technology ,Leavers,Sally Devine,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 331,195","£ 200,000","£ 131,195",12,No,No,Budget Holder Approval,"GPS Framework
RM721/L1",07/08/2013,06/08/2014,,,06/08/2014, Computacenter (UK) Ltd
5501,Provision of Guardian Services at Authority Premises,Technical and Service Support,Property Strategic Planning,Paul Greenwood,Dean Kinsella,Yes,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 190,000",£ 0,"£ 190,000",36,Yes,No,Committee Decision,,01/10/2013,30/09/2016,01/10/2017,30/09/2018,, Vigilance Properties Ltd
5499,Fire safety works,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 59,108","£ 56,500","£ 2,608",2,No,No,Delegated Authority,,15/07/2013,14/09/2013,,,14/09/2013, RME Services Ltd
5498,Learning Support,Human Resources Management,Organisational Development,Veronica Laurie,Dean Kinsella,No,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 20,000","£ 50,000","(£ 30,000)",36,Yes,No,Budget Holder Approval,,01/07/2013,30/06/2016,01/07/2016,31/03/2017,31/03/2017, Dyslexia Action
5497,Charitable Status Feasibility Study,Operational Policy,CS Policy and Projects,Kathryn Bloomfield,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 11,300","£ 11,300",£ 0,2,No,No,Head of Procurement approval for single tender action,,01/04/2013,31/05/2013,,,31/05/2013, Action Planning
5496,Distribution Upgrade and Associated Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 149,246","£ 182,750","(£ 33,504)",3,No,No,Delegated Authority,,21/05/2013,31/08/2013,,,31/08/2013, Ditton Electrical Contracts Ltd
5494,Provision of Cable Cutters,Operational Policy,Croydon (Team),Philip Morton,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 43,641","£ 43,638",£ 3,2,No,No,Head of Procurement approval for single tender action,,07/03/2013,30/04/2013,,,30/04/2013, Cannons MSA Ltd
5493,"Contract for the provision of Strategic, Financial and Commercial Advice for its Vehicles Project and other major procurements",Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,48,No,No,Budget Holder Approval,TFL Framework TfL 90440,01/03/2013,28/02/2017,,,28/02/2017, Grant Thornton UK LLP
5492,Legal Consultancy Services (for the Vehicles Project and other Procurements),Legal & Democratic Services,Corporate Procurement Services,Gillian Maxwell,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,48,No,No,Budget Holder Approval,,18/03/2013,17/03/2017,,,17/03/2017, Sharpe Pritchard LLP
5491,Refurbishment Works,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 44,954","£ 44,479",£ 475,1,No,No,Delegated Authority,,29/04/2013,27/05/2013,,,27/05/2013, B Nokes Contracts Ltd
5490,Fire Safety Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 20,468","£ 39,793","(£ 19,325)",1,No,No,Delegated Authority,,07/05/2013,21/05/2013,,,21/05/2013, S W Bruce & Co Ltd
5489,Fire Safety Works,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 27,206","£ 40,920","(£ 13,714)",1,No,No,Delegated Authority,,07/05/2013,24/05/2013,,,24/05/2013, SW Bruce & Co Ltd
5488,Station office refurbishment,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 25,810","£ 25,000",£ 810,1,No,No,Delegated Authority,,22/04/2013,07/05/2013,,,07/05/2013, B Nokes Contracts Ltd
5487,Provision and Installation of Metal Shutter Doors and Netting to Drill Tower Openings,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 12,312","£ 18,000","(£ 5,688)",1,No,No,Delegated Authority,,20/04/2013,28/04/2013,,,28/04/2013, Bournes of London Projects Ltd
5486,Electrical Rewire/PV installation Works  ,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 58,153","£ 89,859","(£ 31,706)",1,No,No,Delegated Authority,,24/06/2013,29/07/2013,,,29/07/2013, Diamond Build plc
5485,Third Floor Redecoration Works,Technical and Service Support,Leavers,Carlos Monsalve Pereira,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 42,701","£ 62,195","(£ 19,494)",1,No,No,Delegated Authority,,14/04/2013,11/05/2013,,,11/05/2013, Smith & O'Sullivan
5482,AMR Metering to Renewable Installations,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 125,695","£ 90,000","£ 35,695",3,No,No,Budget Holder Approval,,04/04/2013,20/06/2013,,,20/06/2013, PA Associates Uk Ltd
5481,Supporting Public Procurement - Fired-Up,Procurement,Sustainable Development,Nicole Fletcher,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Committee Decision,,20/02/2013,19/02/2016,,,19/02/2016, European Commission
5480,Installation of revolving door,Technical and Service Support,Agency Leavers,John Grey,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 41,953","£ 41,953",£ 0,1,No,No,Committee Decision,,20/02/2013,22/02/2013,,,22/02/2013, Boon Edam
5479,White Shirts and T Shirts,Procurement,Corporate Procurement Services,Gillian Maxwell,Not allocated,,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 122,000","£ 122,000",£ 0,36,Yes,No,Committee Decision,,01/08/2013,31/07/2016,01/08/2016,31/07/2018,," Hunter Apparel&#x0D;
Burlington Uniforms "
5478,Video Services - Hoarding ,Technical and Service Support,Lambeth (Team),Richard Ogden,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,0,No,No,Budget Holder Approval,,10/02/2013,10/02/2013,,,10/02/2013, Dragonfly Productions
5477,The Redevelopment of the London Fire Brigade's Station Diary,Information and Communications Technology ,ICT Management,Julian Martin,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 181,130","£ 242,000","(£ 60,870)",36,No,No,Head of Procurement approval for single tender action,,01/03/2013,28/02/2016,,,28/02/2016, Moore Stephens Consulting Ltd
5476,Roof Replacement Works,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 197,780","£ 178,277","£ 19,503",4,No,No,Delegated Authority,,25/06/2013,04/10/2013,,,04/10/2013, SW Bruce & Co Ltd
5474,Undertakings to carry out works under RM 2011,Technical and Service Support,Property Project Delivery,Bryan Pearce,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,48,No,No,Delegated Authority,,11/01/2013,11/01/2017,,,11/01/2017," Waltham Forest Engineering Ltd , Arkas Ltd, Bournes of London Projects Limited, Collins (Contractors) Ltd, Giles Contract Services, Kirkman & Jourdain Ltd, Lovelock & Taylour Limited, Merlin Electrical Services Ltd, Moolands Ltd, P J Harte (Decorating Contractors) Ltd, RJ Holland Ltd, Safeguard Pest Control, Kitsons Environmental Europe Ltd T/A Silverdell, Smith & O'Sullivan Ltd, T Brown Group Ltd"
5473,Motorisation of Gates,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 49,415","£ 40,000","£ 9,415",1,No,No,Delegated Authority,,15/05/2013,23/05/2013,,,23/05/2013, H & V Building Services Ltd
5472,Motorisation of Rear Yard Gates,Technical and Service Support,Leavers,Carlos Monsalve Pereira,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 40,808","£ 44,451","(£ 3,643)",3,No,No,Delegated Authority,,01/03/2013,31/05/2013,,,31/05/2013, H & V Building Services Ltd
5471,Asbestos Removal,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 9,713","£ 12,000","(£ 2,287)",1,No,No,Delegated Authority,,03/02/2013,26/02/2013,,,26/02/2013, Asbestos First Ltd
5470,"Analysis, design and implementation of a Business Intelligence solution",Information and Communications Technology ,Leavers,Sally Devine,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 102,018","£ 70,000","£ 32,018",12,No,No,Committee Decision,RM591/L3,01/02/2013,31/01/2014,,,31/01/2014, Bramble.cc Ltd
5469,Stock Condition Surveys 2012/13,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 20,355","£ 25,000","(£ 4,645)",2,No,No,Head of Procurement approval for single tender action,,15/01/2013,15/03/2013,,,15/03/2013, Property Data Solutions Ltd
5468,ISC Yard Enhancement,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 227,039","£ 213,000","£ 14,039",2,No,No,Committee Decision,,02/05/2013,07/06/2013,,,07/06/2013, Walker Construction (UK) Ltd
5467,Inspection of Fleet Vehicles,Technical and Service Support,FLEET,Trevor Neal,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 150,000","£ 150,000",£ 0,24,No,No,Budget Holder Approval,,01/04/2013,31/03/2015,,,31/03/2015, Applus Car Testing Service Ltd
5466,Electrical works,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 26,254","£ 30,556","(£ 4,302)",1,No,No,Delegated Authority,,02/04/2013,26/04/2013,,,26/04/2013, LG Bland Electrical Ltd.
5465,Gym Equipment,Technical and Service Support,Property Strategic Planning,Paula Taylor,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,26,Yes,Yes,Committee Decision,ESPO,01/12/2012,31/01/2015,31/01/2016,31/07/2016,31/07/2016, Pulse Fitness Ltd
5464,Construction of new Fire Station,Technical and Service Support,Leavers,Carlos Monsalve Pereira,Not allocated,,Yes,Yes,No,Yes,Works,Expenditure,"£ 4,944,605","£ 4,944,605",£ 0,14,No,No,Committee Decision,,01/09/2013,30/10/2014,,,30/10/2014, Willmott Dixon Construction
