 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,92,47.50,FUEL,17/09/18,,Community Safety,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,93,41.86,FUEL,17/09/18,,Technical and Service Support,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,94,39.24,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,95,29.73,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,96,9.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,97,7.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,98,7.00,FUEL,17/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,99,6.00,FUEL,17/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,100,5.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,101,4.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,102,4.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,103,4.00,FUEL,17/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,104,4.00,FUEL,17/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,105,4.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,106,4.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,107,4.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,108,3.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,109,3.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,110,3.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,111,3.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,112,3.00,FUEL,17/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,113,3.00,FUEL,17/09/18,,Control and Mobilising,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,114,3.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,115,3.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,116,3.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,117,3.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,118,3.00,FUEL,17/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,119,3.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,120,3.00,FUEL,17/09/18,,Procurement,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,121,2.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,122,2.00,FUEL,17/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,123,2.00,FUEL,17/09/18,,Community Safety,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,124,2.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,125,2.00,FUEL,17/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,126,2.00,FUEL,17/09/18,,Challenge Team,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,127,1.00,FUEL,17/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,128,1.00,FUEL,17/09/18,,Control and Mobilising,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,129,1.00,FUEL,17/09/18,,Operational Resilience,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,130,1.00,FUEL,17/09/18,,Community Safety,Vehicle Management,Vehicle Management
800119391,ALLSTAR BUSINESS SOLUTIONS LTD,E2010185459,131,1.00,FUEL,17/09/18,,Training and Professional Development,Vehicle Management,Vehicle Management
142399,LEX AUTOLEASE,EXI1170787,1,308.85,LEASE CAR CHARGES,17/09/18,284.11,Procurement,Vehicle Management,Vehicle Management
142399,LEX AUTOLEASE,EXI1170787,2,-24.74,VAT CAR LEASING,17/09/18,,Finance Services,Vehicle Management,Vehicle Management
110918K,MERSEYSIDE FCDA,I0021009,1,384.00,REFRESHMENTS,17/09/18,384.00,Business Change (CPO),Catering,Human Resources
100918G,HALL FUELS,I10381972,1,"4,225.20",FUEL,17/09/18,"4,225.20",Fire Stations (North East),Vehicle Management,Vehicle Management
040918K,LEARNING TREE INTERNATIONAL LT,IN521871,1,"1,956.00",PROFESSIONAL DEVELOPMENT,17/09/18,"1,956.00",Training and Professional Development,Human Resources,Human Resources
040918K,LEARNING TREE INTERNATIONAL LT,IN521872,1,"1,956.00",PROFESSIONAL DEVELOPMENT,17/09/18,"1,956.00",Training and Professional Development,Human Resources,Human Resources
110918K,SLATE MARKETING LTD,INVLFBSC30XOPGUIDDOC18,1,"2,450.00",CONSULTANTS,17/09/18,"2,450.00",Central Programme Office (CPO),Consultancy,Consultancy
110918K,ABBEY SOLUTIONS INTERNATIONAL,LFBE006,1,"3,600.00",GENERAL,17/09/18,"3,600.00",Central Finance,Consultancy,#N/A
120918K,DAVID BURROWS-SUTCLIFFE,LFEPA/010,1,"1,000.00",PROFESSIONAL DEVELOPMENT,17/09/18,"1,000.00",Operational Resilience,Human Resources,Legal Services
120918K,DAVID BURROWS-SUTCLIFFE,LFEPA/011,1,"1,000.00",PROFESSIONAL DEVELOPMENT,17/09/18,"1,000.00",Operational Resilience,Human Resources,Legal Services
100918G,LPFA CONTRIBUTIONS ACCOUNT,LPFA2267,1,560.00,PENSION SERVICES,17/09/18,560.00,Central Finance,Financial Services,Financial Services
110918V,B NOKES CONTRACTS LTD,MCE344,1,"7,711.75",REACTIVE SMALL WORKS AND PROJ,17/09/18,"7,711.75",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
120918V,B NOKES CONTRACTS LTD,MCE345,1,"7,523.20",REACTIVE SMALL WORKS AND PROJ,17/09/18,"7,523.20",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
110918V,B NOKES CONTRACTS LTD,MCE346,1,"6,158.75",REACTIVE SMALL WORKS AND PROJ,17/09/18,"6,158.75",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
110918V,B NOKES CONTRACTS LTD,MCE347,1,"5,210.70",REACTIVE SMALL WORKS AND PROJ,17/09/18,"5,210.70",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
120918K,B NOKES CONTRACTS LTD,MCE349,1,"2,786.50",REACTIVE SMALL WORKS AND PROJ,17/09/18,"2,786.50",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
120918K,B NOKES CONTRACTS LTD,MCE350,1,"1,328.50",REACTIVE SMALL WORKS AND PROJ,17/09/18,"1,328.50",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
110918G,B NOKES CONTRACTS LTD,MCE351,1,"2,079.00",REACTIVE SMALL WORKS AND PROJ,17/09/18,"2,079.00",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
110918G,B NOKES CONTRACTS LTD,MCE352,1,"3,151.50",REACTIVE SMALL WORKS AND PROJ,17/09/18,"3,151.50",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
110918G,B NOKES CONTRACTS LTD,MCE353,1,"2,898.50",REACTIVE SMALL WORKS AND PROJ,17/09/18,"2,898.50",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
110918K,NICE AND SERIOUS,NSINV-LFB1023,1,387.00,SOFTWARE COTS,17/09/18,387.00,Information and Communication Technology,ICT,Facilities & Management S
800119396,APEX LIFT & ESCALATOR,NV80473,1,185.32,REACTIVE LIFTS,17/09/18,277.98,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119396,APEX LIFT & ESCALATOR,NV80473,2,92.66,REACTIVE LIFTS,17/09/18,,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119395,APEX LIFT & ESCALATOR,NV80474,1,185.32,REACTIVE LIFTS,17/09/18,324.31,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119395,APEX LIFT & ESCALATOR,NV80474,2,138.99,REACTIVE LIFTS,17/09/18,,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119400,APEX LIFT & ESCALATOR,NV80768,1,185.32,REACTIVE LIFTS,17/09/18,324.31,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119400,APEX LIFT & ESCALATOR,NV80768,2,138.99,REACTIVE LIFTS,17/09/18,,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119393,APEX LIFT & ESCALATOR,NV80769,1,185.32,REACTIVE LIFTS,17/09/18,277.98,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119393,APEX LIFT & ESCALATOR,NV80769,2,92.66,REACTIVE LIFTS,17/09/18,,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119394,APEX LIFT & ESCALATOR,NV80772,1,185.32,REACTIVE LIFTS,17/09/18,277.98,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119394,APEX LIFT & ESCALATOR,NV80772,2,92.66,REACTIVE LIFTS,17/09/18,,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119402,APEX LIFT & ESCALATOR,NV81923,1,755.16,REACTIVE LIFTS,17/09/18,755.16,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119401,APEX LIFT & ESCALATOR,NV81928,1,277.98,REACTIVE LIFTS,17/09/18,277.98,Technical and Service Support,Facilities & Management Services,Facilities & Management S
800119404,APEX LIFT & ESCALATOR,NV81930,1,"1,382.60",REACTIVE LIFTS,17/09/18,"1,382.60",Technical and Service Support,Facilities & Management Services,Facilities & Management S
070918K,SPECIALIST COMPUTER CENTRE,OP/M483606,1,962.34,ACQUISITIONS,17/09/18,962.34,Information and Communication Technology,ICT,ICT
050918V,SPECIALIST COMPUTER CENTRE,OP/M483607,1,"16,189.78",ACQUISITIONS,17/09/18,"16,189.78",Information and Communication Technology,ICT,ICT
050918V,SPECIALIST COMPUTER CENTRE,OP/M485325,1,"18,000.00",SOFTWARE BESPOKE,17/09/18,"18,000.00",Information and Communication Technology,ICT,ICT
110918K,PULLMAN MOTORS,PULL563,1,"1,750.00",OPERATIONAL EQUIP-PURCHASE,17/09/18,"1,750.00",Procurement,Fire & Rescue,Vehicle Management
110918K,PULLMAN MOTORS,PULL566,1,840.00,OPERATIONAL EQUIP-PURCHASE,17/09/18,840.00,Procurement,Fire & Rescue,Vehicle Management
110918K,PULLMAN MOTORS,PULL566A,1,840.00,OPERATIONAL EQUIP-PURCHASE,17/09/18,840.00,Procurement,Fire & Rescue,Vehicle Management
800118849,THOMAS KNEALE & CO LTD,TK123606,1,10.89,BEDS & SOFT FURNISHINGS,17/09/18,639.84,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,2,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,3,2.59,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,4,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,5,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,6,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,7,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,8,6.94,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,9,6.94,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,10,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,11,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,12,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,13,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,14,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,15,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,16,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,17,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,18,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,19,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,20,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,21,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,22,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,23,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,24,2.96,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,25,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,26,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,27,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,28,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,29,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,30,2.84,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,31,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,32,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,33,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,34,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,35,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,36,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,37,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,38,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,39,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,40,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,41,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,42,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,43,2.84,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,44,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,45,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,46,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,47,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,48,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,49,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,50,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,51,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,52,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,53,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,54,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,55,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,56,2.84,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,57,2.84,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,58,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,59,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,60,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,61,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,62,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,63,4.98,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,64,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,65,2.59,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,66,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,67,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,68,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,69,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,70,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,71,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,72,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,73,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,74,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,75,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,76,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,77,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,78,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,79,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,80,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (North East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,81,10.89,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,82,0.99,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,83,3.47,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,84,1.48,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South East),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,85,6.94,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
800118849,THOMAS KNEALE & CO LTD,TK123606,86,2.96,BEDS & SOFT FURNISHINGS,17/09/18,,Fire Stations (South West),Furniture & Soft Furnishings,Furniture
