IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
134265141,FIRE ALARM SMELL OF SMOKE,06/10/2014 11:32,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to room of origin,Princess Frederica C of E Primary School,,,College Road,NW10 5TP,Brent,Queens Park,Outer London,Fault in equipment or appliance,Store room,,Faulty Appliance or Supply,Heating appliances,No,0
135978141,AFA ACTUATING AND SMOKE ISSUING,10/10/2014 11:26,Primary Fire,Accidental,Removal from/of heat source,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Coombe Hill Junior School,,,Coombe Lane West,KT2 7DD,Kingston upon Thames,Coombe Vale,Outer London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
137345141,SMELL OF BURNING,13/10/2014 09:46,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,Wyvil Primary School,,,Wyvil Road,SW8 2TJ,Lambeth,Oval,Inner London,Unsafe use of equipment or appliance (heat source),Office,,Human Element,Electrical distribution,No,0
137671141,RUBBISH ALIGHT IN GROUNDS OF SCHOOL,13/10/2014 21:11,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Beam Primary School,,,Oval Road South,RM10 9ED,Barking and Dagenham,River,Outer London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Smoking related,No,0
138631141,BIN ALIGHT,15/10/2014 20:09,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Heston Infant School,,,Heston Road,TW5 0QR,Hounslow,Heston East,Outer London,Unsafe use of heat source - due to knocking over,External structures,,Human Element,Smoking related,No,0
139186141,AFA ACTUATING,17/10/2014 07:33,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Farnham Green Primary School,,,Royal Close,IG3 8UY,Redbridge,Seven Kings,Outer London,Faulty fuel supplies – Electricity,Office,,Faulty Appliance or Supply,Lighting,No,0
140753141,AFA ACT,20/10/2014 12:04,Primary Fire,Accidental,Burned out (Allowed to burn under control),None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Latimer Education Centre,,,Freston Road,W10 6TT,Kensington and Chelsea,Notting Dale,Inner London,"Other intentional burning, going out of control",Other,classroom,Human Element,Other ignition source,No,0
149082141,FIRE,05/11/2014 13:31,Primary Fire,Deliberate,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Northolt Park Childrens Centre,,,Newmarket Avenue,UB5 4HB,Ealing,Northolt Mandeville,Outer London,Heat source and combustibles brought together deliberately,Other,Classroom,Human Element,Smoking related,No,0
149643141,FIRE,06/11/2014 11:00,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Westbourne Park Road,W11 1EG,Kensington and Chelsea,Colville,Inner London,Unsafe use of heat source - due to unsafe disposal,External structures,,Human Element,Smoking related,No,0
150221141,MICROWAVE ALIGHT,07/11/2014 14:13,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Barnardos,,,Sanderstead Road,CR2 0DB,Croydon,Purley,Outer London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
151644141,FIRE,10/11/2014 12:55,Primary Fire,Accidental,Removal from/of heat source,Small means,Pre School/nursery ,Education,Non Residential,,Rainbow Kids Nursery,,,Malmesbury Road,E18 2NN,Redbridge,Church End,Outer London,Unsafe use of equipment or appliance (heat source),Utility room,,Human Element,White goods,No,0
152246141,AFA ACTUATING,11/11/2014 20:23,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Lister Community School,,,St. Mary's Road,E13 9AE,Newham,Plaistow North,Inner London,Combustible articles too close to heat source (or fire),Store room,,Human Element,Cooker,Yes,1
152867141,FIRE IN TOILET,13/11/2014 10:57,Primary Fire,Deliberate,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to room of origin,The Octagon,,,Commerce Road,N22 8DZ,Haringey,Bounds Green,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Matches and Candles,No,0
153571141,FIRE IN SCHOOL,14/11/2014 22:01,Primary Fire,Accidental,Water - domestic supply,Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,St. Saviours C of E Infant School,,,The Grove,W5 5DX,Ealing,Ealing Broadway,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
155886141,FIRE,20/11/2014 08:35,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,All Saints Church Hall,,,Trewsbury Road,SE26 5EP,Lewisham,Sydenham,Inner London,Fault in equipment or appliance,Bathroom/Toilet,,Faulty Appliance or Supply,Heating appliances,No,0
160992141,SMELL OF BURNING,01/12/2014 09:37,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Pre School/nursery ,Education,Non Residential,,Rectory Park Community Centre,,,Rectory Park Avenue,UB5 6SL,Ealing,Greenford Broadway,Outer London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
161590141,FIRE,02/12/2014 15:52,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Sutherland Square,SE17 3EE,Southwark,Newington,Inner London,"Overheating, unknown cause",Utility room,,Faulty Appliance or Supply,White goods,No,0
162353141,FIRE,04/12/2014 10:03,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Amhurst Park,N16 5DL,Hackney,Woodberry Down,Inner London,Combustible articles too close to heat source (or fire),Boiler room,,Human Element,Heating appliances,No,0
164776141,FIRE,09/12/2014 12:09,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Beis Yaakov Primary School,,,Edgware Road,NW9 6NQ,Brent,Fryent,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
166177141,FIRE ALL OUT   BRIGADE  REQUIRED,12/12/2014 15:05,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Churchfields Junior School,,,Churchfields,E18 2RB,Redbridge,Church End,Outer London,Person too close to heat source (or fire),Other,School hall,Human Element,Matches and Candles,No,0
168400141,SMOKE ISSUING FROM ELECTRICAL WIRING,17/12/2014 14:52,Primary Fire,Deliberate,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,The Hermis Travel Group Ltd,,,Lowlands Road,HA1 3AW,Harrow,Greenhill,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Electrical distribution,No,0
168745141,AFA ACTUATING,18/12/2014 12:27,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Northbury Primary School,,,Northbury Close,IG11 8JA,Barking and Dagenham,Abbey,Outer London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
2581151,SMELL OF BURNING,07/01/2015 10:02,Primary Fire,Accidental,None,Burned out (Allowed to burn under control),Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Grazebrook Primary School,,,Lordship Road,N16 0QP,Hackney,Stoke Newington,Inner London,Faulty fuel supplies – Electricity,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
3883151,SMOKE ISSUING FROM LIGHT FITTING,10/01/2015 12:27,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Buffer Bear Nursery,,,Frazier Street,SE1 7BD,Lambeth,Bishop's,Inner London,Faulty leads to equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
5028151,FIRE ALL OUT - BRIGADE REQUIRED,13/01/2015 11:43,Primary Fire,Accidental,Small means,Removal from/of heat source,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Fullers Road,E18 2QA,Redbridge,Church End,Outer London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Cooker,Unknown,0
5035151,FIRE,13/01/2015 12:01,Primary Fire,Accidental,Portable extinguishers,CO2 (carbon dioxide),Secondary school,Education,Non Residential,Limited to item 1st ignited,The American School in London,,,Waverley Place,NW8 0NP,Westminster,Abbey Road,Inner London,Faulty fuel supplies – Electricity,Other,gymnasium,Faulty Appliance or Supply,Lighting,No,0
8507151,AFA ACTUATING,21/01/2015 12:52,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,Stoneydown Park Primary School,,,Pretoria Avenue,E17 6JY,Waltham Forest,High Street,Outer London,Cooking – other cooking,Other,first aid room,Human Element,Kitchen appliances,No,0
10108151,FIRE,24/01/2015 22:29,Primary Fire,Accidental,Small means,Water - from bucket/containers,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Purley Oaks Primary School,,,Bynes Road,CR2 0PR,Croydon,Croham,Outer London,"Other intentional burning, going out of control",Roof,,Human Element,Other ignition source,Unknown,0
11180151,AFA ACTUATING,27/01/2015 15:11,Primary Fire,Accidental,Small means,Removal from/of heat source,Infant/Primary school,Education,Non Residential,,Grinling Gibbons Primary School,,,Clyde Street,SE8 5LW,Lewisham,Evelyn,Inner London,Cooking – other cooking,Other,Staff room,Human Element,Kitchen appliances,No,0
11302151,FIRE,27/01/2015 19:15,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to item 1st ignited,Congvyoel Mosche,,,Lynmouth Road,N16 6YL,Hackney,Cazenove,Inner London,Unsafe use of heat source - due to unsafe disposal,Bathroom/Toilet,,Human Element,Matches and Candles,No,0
11462151,FIRE ALL OUT,28/01/2015 08:57,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,,,School House,The Mead,BR4 0BA,Bromley,West Wickham,Outer London,Cooking – other cooking,Kitchen,,Human Element,Other ignition source,No,0
12274151,AFA ACTUATING,30/01/2015 10:15,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,,St. John the Evangelist RC Primary School,,,Duncan Street,N1 8BL,Islington,St. Peter's,Inner London,Faulty fuel supplies – Electricity,Other,electrical intake room,Faulty Appliance or Supply,Electrical distribution,No,0
14885151,AFA ACTUATING,05/02/2015 09:54,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,Eastlea Community School,,,Pretoria Road,E16 4NP,Newham,Canning Town North,Inner London,Fault in equipment or appliance,Meeting room,,Faulty Appliance or Supply,Heating appliances,No,0
21147151,SMELL OF BURNING & AFA ACTUATING,20/02/2015 08:32,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Teddies Nursery,,,Evershed Walk,W4 5BW,Ealing,Southfield,Outer London,Faulty fuel supplies – Electricity,Bathroom/Toilet,,Faulty Appliance or Supply,Lighting,No,0
21260151,FIRE,20/02/2015 15:11,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Pre School/nursery ,Education,Non Residential,,,,,Norbiton Avenue,KT1 3QT,Kingston upon Thames,Norbiton,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
22876151,FIRE,24/02/2015 14:14,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,The London Nautical School,,,Stamford Street,SE1 9NA,Lambeth,Bishop's,Inner London,Faulty fuel supplies – Electricity,IT server/Mainframe room,,Faulty Appliance or Supply,Audio-Visual,No,0
23461151,FIRE IN SCHOOL ROOF  - TWO PUMP FIRE,25/02/2015 21:37,Primary Fire,Not Known,Portable extinguishers,Dry powder (DP),Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Gordonbrook School,,,Perry Rise,SE23 2QU,Lewisham,Bellingham,Inner London,"Overheating, unknown cause",Roof,,Faulty Appliance or Supply,Not confirmed,No,0
28408151,SMELL OF SMOKE,09/03/2015 12:10,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,Churchfields Infant School,,,Churchfields,E18 2RB,Redbridge,Church End,Outer London,Faulty fuel supplies – Electricity,Bathroom/Toilet,,Faulty Appliance or Supply,Electrical distribution,No,0
29562151,FENCE ALIGHT,12/03/2015 03:26,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,External roof only,,,,Rolt Street,SE8 5PP,Lewisham,Evelyn,Inner London,Heat source and combustibles brought together deliberately,Refuse store/Bin room,,Human Element,Matches and Candles,No,0
32118151,SMOKE ISSUING FROM THE VICINITY OF,17/03/2015 21:38,Primary Fire,Deliberate,"Hosereels, jets, monitors",Main branch/Jet (J),Secondary school,Education,Non Residential,Limited to room of origin,,,,Slade Green Road,DA8 2HX,Bexley,North End,Outer London,Heat source and combustibles brought together deliberately,Meeting room,,Human Element,Matches and Candles,No,0
32462151,FIRE IN TOILETS,18/03/2015 18:54,Primary Fire,Deliberate,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to room of origin,The Eden School,,,Wyke Gardens,W7 2BB,Ealing,Elthorne,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
32722151,AFA ACTUATING,19/03/2015 10:39,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,Harris Academy,,,Kendra Hall Road,CR2 6DT,Croydon,Waddon,Outer London,"Other intentional burning, going out of control",Other,Classroom,Human Element,Kitchen appliances,No,0
32884151,SMELL OF BURNING,19/03/2015 17:39,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,,The Northcote Gardens,,,Salcott Road,SW11 6DQ,Wandsworth,Northcote,Inner London,Faulty fuel supplies – Electricity,Office,,Faulty Appliance or Supply,Lighting,No,0
34192151,FIRE AT REAR OF NURSERY SCHOOL,22/03/2015 22:39,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Windrush Primary School,,,Bentham Road,SE28 8AR,Greenwich,Thamesmead Moorings,Outer London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Smoking related,No,0
36180151,FIRE ALL OUT  BRIGADE REQUIRED,27/03/2015 17:16,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,,Dormers Wells High School,,,Dormers Wells Lane,UB1 3HZ,Ealing,Dormers Wells,Outer London,Unsafe use of heat source - due to unsafe disposal,Other,class room,Human Element,Matches and Candles,No,0
41027151,AFA ACTUATING,07/04/2015 12:40,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,The Holy Cross Girls School,,,Sandal Road,KT3 5AR,Kingston upon Thames,St. James,Outer London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
45412151,FIRE IN STAFF ROOM,16/04/2015 10:39,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Durdans Park School,,,King Georges Drive,UB1 2PQ,Ealing,Lady Margaret,Outer London,Cooking – other cooking,Meeting room,,Human Element,Kitchen appliances,No,0
49116151,SMOKE ISSUING,23/04/2015 12:26,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Old Oak Primary School,,,Mellitus Street,W12 0AS,Hammersmith and Fulham,College Park and Old Oak,Inner London,Combustible articles too close to heat source (or fire),Canteen/Restaurant,,Human Element,Cooker,No,0
49198151,FIRE,23/04/2015 14:51,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Archdeacon Cambridges School,,,The Green,TW2 5TU,Richmond upon Thames,South Twickenham,Outer London,Faulty leads to equipment or appliance,Other,Class room,Faulty Appliance or Supply,Electrical distribution,No,0
49651151,SMELL OF BURNING AND AFA ACTUATING,24/04/2015 10:56,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Elfrida Primary School,,,Elfrida Crescent,SE6 3EN,Lewisham,Bellingham,Inner London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
50928151,AFA ACTUATING,27/04/2015 09:24,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Annes Primary School,,,Underwood Road,E1 5AW,Tower Hamlets,Spitalfields & Banglatown,Inner London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Cooker,No,0
52088151,SMOKE ISSUING FROM FUSE HEAD,29/04/2015 17:23,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Hugs & Giggles Nursery,,,Headstone Lane,HA2 6JL,Harrow,Headstone North,Outer London,Faulty fuel supplies – Electricity,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
55774151,FIRE ALL OUT,07/05/2015 16:30,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,Trinity Catholic Upper High School,,,Mornington Road,IG8 0TP,Redbridge,Monkhams,Outer London,Combustible articles too close to heat source (or fire),Process/Production room,,Human Element,Heating appliances,No,0
56257151,AFA ACTUATING,08/05/2015 15:51,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,,Bentley Wood High School,,,Binyon Crescent,HA7 3NA,Harrow,Stanmore Park,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
57522151,FOUR  PUMP FIRE,11/05/2015 08:09,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,Bexley Grammar Mixed School,,,Danson Lane,DA16 2BL,Bexley,Danson Park,Outer London,Fault in equipment or appliance,Roof space,,Faulty Appliance or Supply,Other item,No,0
57531151,SMELL OF BURNING,11/05/2015 08:59,Primary Fire,Not Known,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Clive Road Nursery,,,Clive Road,SE21 8BY,Lambeth,Gipsy Hill,Inner London,Faulty fuel supplies – Electricity,Reception area,,Faulty Appliance or Supply,Lighting,No,0
57850151,THREE PUMP FIRE,11/05/2015 21:02,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Secondary school,Education,Non Residential,Limited to room of origin,Loxford School of Science & Technology,,,Loxford Lane,IG1 2UT,Redbridge,Mayfield,Outer London,Faulty leads to equipment or appliance,Process/Production room,,Faulty Appliance or Supply,Domestic appliances,Yes,1
58666151,AFA ACUATING,13/05/2015 14:59,Primary Fire,Accidental,,Other,Secondary school,Education,Non Residential,Limited to item 1st ignited,Barnhill Community High School,,,Yeading Lane,UB4 9LE,Hillingdon,Barnhill,Outer London,Fault in equipment or appliance,Process/Production room,,Faulty Appliance or Supply,Cooker,No,0
59143151,SMELL OF BURNING,14/05/2015 14:04,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Culvers House Primary School,,,Orchard Avenue,CR4 4JH,Sutton,Wandle Valley,Outer London,Fault in equipment or appliance,Office,,Faulty Appliance or Supply,Lighting,No,0
65160151,SMELL OF BURNING,27/05/2015 13:55,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,Amhurst Park,N16 5DL,Hackney,Woodberry Down,Inner London,Faulty fuel supplies – Electricity,"Under stairs (enclosed, storage area)",,Faulty Appliance or Supply,Electrical distribution,No,0
65621151,SKIP ALIGHT,28/05/2015 14:50,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,Roof space only,Hampton Junior School,,,Percy Road,TW12 2LA,Richmond upon Thames,Hampton,Outer London,Unsafe use of heat source - due to unsafe disposal,Other,Skip in Playground,Human Element,Smoking related,No,0
68841151,SMELL OF BURNING,04/06/2015 09:02,Primary Fire,Accidental,None,Burned out (Allowed to burn under control),Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Red Hen Nursery,,,Cabul Road,SW11 2PN,Wandsworth,Latchmere,Inner London,Unsafe use of heat source - due to unsafe disposal,Utility room,,Human Element,Smoking related,No,0
69537151,FIRE,05/06/2015 12:42,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to room of origin,Lessness Heath Cp School,,,Erith Road,DA17 6HB,Bexley,Belvedere,Outer London,Fault in equipment or appliance,Other,classroom,Faulty Appliance or Supply,Kitchen appliances,No,0
370152,FIRE IN NURSERY,18/06/2015 07:00,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to room of origin,Betty Layward Primary School,,,Clissold Road,N16 9EY,Hackney,Clissold,Inner London,Faulty fuel supplies – Electricity,Bathroom/Toilet,,Faulty Appliance or Supply,Lighting,No,0
77091151,FIRE,20/06/2015 05:24,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Clyde Early Childhood Centre,,,Alverton Street,SE8 5NH,Lewisham,Evelyn,Inner London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
79556151,FIRE,25/06/2015 10:21,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),Brimsdown Infant & Junior School,,,Green Street,EN3 7NA,Enfield,Enfield Highway,Outer London,Playing with fire (or heat source),Bathroom/Toilet,,Human Element,Matches and Candles,No,0
80987151,FOUR PUMP FIRE-AERIALS ONE,27/06/2015 13:53,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Secondary school,Education,Non Residential,Roof space and other floors(s),Cheam High School,,,Chatsworth Road,SM3 8PW,Sutton,Cheam,Outer London,Unsafe use of equipment or appliance (heat source),Other,art studio,Human Element,Other item,No,0
83218151,SMOKE ISSUING FROM KITCHEN,01/07/2015 07:18,Primary Fire,Accidental,Portable extinguishers,Extinguisher - other,Infant/Primary school,Education,Non Residential,Limited to room of origin,Kings Avenue School,,,Park Hill,SW4 9PA,Lambeth,Clapham Common,Inner London,Faulty leads to equipment or appliance,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
87071151,SMOKE ISSUING,06/07/2015 12:54,Primary Fire,Accidental,Portable extinguishers,CO2 (carbon dioxide),Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Teddies Nurseries Ltd,,,The Ham,TW8 8HF,Hounslow,Syon,Outer London,Faulty fuel supplies – Electricity,Other,Classroom,Faulty Appliance or Supply,Electrical distribution,No,0
92829151,AFA ACTUATING,16/07/2015 11:24,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Willow Dene School,,,Swingate Lane,SE18 2JD,Greenwich,Shooters Hill,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
93067151,AFA ACTUATING,16/07/2015 19:19,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (low pressure) (HR) - tank supply only,Secondary school,Education,Non Residential,Limited to room of origin,Old Palace of John Whitgift School,,,Old Palace Road,CR0 1AX,Croydon,Fairfield,Outer London,Faulty leads to equipment or appliance,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
100987151,"FOUR PUMP FIRE , ALP 1",30/07/2015 18:32,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to room of origin,West Hill Primary School,,,Merton Road,SW18 5ST,Wandsworth,Southfields,Inner London,Combustible articles too close to heat source (or fire),Roof,,Human Element,DIY,No,0
101016151,TWO PUMP FIRE,30/07/2015 19:08,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Secondary school,Education,Non Residential,Limited to room of origin,Rye Oak Primary School,,,Whorlton Road,SE15 3PD,Southwark,The Lane,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
101900151,SKIP ALIGHT IN PLAYGROUND,01/08/2015 14:23,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,External roof only,Squirrels Heath Junior School,,,Salisbury Road,RM2 5TP,Havering,Squirrel's Heath,Outer London,"Other intentional burning, going out of control",Other,skip,Human Element,Other ignition source,No,0
103592151,FIRE,04/08/2015 13:54,Primary Fire,Accidental,Small means,Water - from bucket/containers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Little Ilford Comprehensive School,,,Browning Road,E12 6ET,Newham,Little Ilford,Inner London,Unsafe use of heat source - due to unsafe disposal,External structures,,Human Element,Matches and Candles,No,0
108184151,FOUR PUMP FIRE,12/08/2015 22:02,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Secondary school,Education,Non Residential,Roof space and other floors(s),Farringtons School,,,Perry Street,BR7 6LR,Bromley,Chislehurst,Outer London,Fault in equipment or appliance,External structures,,Faulty Appliance or Supply,Lighting,No,0
116034151,FIRE,28/08/2015 17:12,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,MAIN BUILDING,OAKTHORPE ROAD,N13 5TY,ENFIELD,PALMERS GREEN,Outer London,Unsafe use of equipment or appliance (heat source),Roof,,Human Element,Heating appliances,No,0
117986151,AFA ACTUATING,01/09/2015 23:27,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Secondary school,Education,Non Residential,Limited to item 1st ignited,Central Foundation Girls' School,,,HARLEY GROVE,E3 2AT,TOWER HAMLETS,BOW WEST,Inner London,Unsafe use of equipment or appliance (heat source),Store room,,Human Element,Kitchen appliances,No,0
118946151,SMOKE ISSUING,04/09/2015 08:08,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,Parliament Hill School,,,HIGHGATE ROAD,NW5 1RL,CAMDEN,HIGHGATE,Inner London,Fault in equipment or appliance,Other,CLASSROOM,Faulty Appliance or Supply,Other item,No,0
121474151,SMELL OF BURNING,09/09/2015 11:49,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,MOOREHEAD WAY,SE3 9XU,GREENWICH,ELTHAM WEST,Outer London,Faulty fuel supplies – Electricity,Meeting room,,Faulty Appliance or Supply,Lighting,No,0
